INDUS,NOX,RM,AGE,TAX,PTRATIO,LSTAT,MEDV
6.96,0.464,6.24,16.3,223.0,18.6,6.59,25.2
6.96,0.464,6.538,58.7,223.0,18.6,7.73,24.4
6.96,0.464,7.691,51.8,223.0,18.6,6.58,35.2
6.41,0.447,6.758,32.9,254.0,17.6,3.53,32.4
6.41,0.447,6.854,42.8,254.0,17.6,2.98,32.0
6.41,0.447,7.267,49.0,254.0,17.6,6.05,33.2
6.41,0.447,6.826,27.6,254.0,17.6,4.16,33.1
6.41,0.447,6.482,32.1,254.0,17.6,7.19,29.1
3.33,0.4429,6.812,32.2,216.0,14.9,4.85,35.1
3.33,0.4429,7.82,64.5,216.0,14.9,3.76,45.4
3.33,0.4429,6.968,37.2,216.0,14.9,4.59,35.4
3.33,0.4429,7.645,49.7,216.0,14.9,3.01,46.0
1.21,0.401,7.923,24.8,198.0,13.6,3.16,50.0
2.97,0.4,7.088,20.8,285.0,15.3,7.85,32.2
2.25,0.389,6.453,31.9,300.0,15.3,8.23,22.0
1.76,0.385,6.23,31.5,241.0,18.2,12.93,20.1
5.32,0.405,6.209,31.3,293.0,16.6,7.14,23.2
5.32,0.405,6.315,45.6,293.0,16.6,7.6,22.3
5.32,0.405,6.565,22.9,293.0,16.6,9.51,24.8
4.95,0.411,6.861,27.9,245.0,19.2,3.33,28.5
4.95,0.411,7.148,27.7,245.0,19.2,3.56,37.3
4.95,0.411,6.63,23.4,245.0,19.2,4.7,27.9
13.92,0.437,6.127,18.4,289.0,16.0,8.58,23.9
13.92,0.437,6.009,42.3,289.0,16.0,10.4,21.7
13.92,0.437,6.678,31.1,289.0,16.0,6.27,28.6
13.92,0.437,6.549,51.0,289.0,16.0,7.39,27.1
13.92,0.437,5.79,58.0,289.0,16.0,15.84,20.3
2.24,0.4,6.345,20.1,358.0,14.8,4.97,22.5
2.24,0.4,7.041,10.0,358.0,14.8,4.74,29.0
2.24,0.4,6.871,47.4,358.0,14.8,6.07,24.8
6.09,0.433,6.59,40.4,329.0,16.1,9.5,22.0
6.09,0.433,6.495,18.4,329.0,16.1,8.67,26.4
6.09,0.433,6.982,17.7,329.0,16.1,4.86,33.1
2.18,0.472,7.236,41.1,222.0,18.4,6.93,36.1
2.18,0.472,6.616,58.1,222.0,18.4,8.93,28.4
2.18,0.472,7.42,71.9,222.0,18.4,6.47,33.4
2.18,0.472,6.849,70.3,222.0,18.4,7.53,28.2
9.9,0.544,6.635,82.5,304.0,18.4,4.54,22.8
9.9,0.544,5.972,76.7,304.0,18.4,9.97,20.3
9.9,0.544,4.973,37.8,304.0,18.4,12.64,16.1
9.9,0.544,6.122,52.8,304.0,18.4,5.98,22.1
9.9,0.544,6.023,90.4,304.0,18.4,11.72,19.4
9.9,0.544,6.266,82.8,304.0,18.4,7.9,21.6
9.9,0.544,6.567,87.3,304.0,18.4,9.28,23.8
9.9,0.544,5.705,77.7,304.0,18.4,11.5,16.2
9.9,0.544,5.914,83.2,304.0,18.4,18.33,17.8
9.9,0.544,5.782,71.7,304.0,18.4,15.94,19.8
9.9,0.544,6.382,67.2,304.0,18.4,10.36,23.1
9.9,0.544,6.113,58.8,304.0,18.4,12.73,21.0
7.38,0.493,6.426,52.3,287.0,19.6,7.2,23.8
7.38,0.493,6.376,54.3,287.0,19.6,6.87,23.1
7.38,0.493,6.041,49.9,287.0,19.6,7.7,20.4
7.38,0.493,5.708,74.3,287.0,19.6,11.74,18.5
7.38,0.493,6.415,40.1,287.0,19.6,6.12,25.0
7.38,0.493,6.431,14.7,287.0,19.6,5.08,24.6
7.38,0.493,6.312,28.9,287.0,19.6,6.15,23.0
7.38,0.493,6.083,43.7,287.0,19.6,12.79,22.2
3.24,0.46,5.868,25.8,430.0,16.9,9.97,19.3
3.24,0.46,6.333,17.2,430.0,16.9,7.34,22.6
3.24,0.46,6.144,32.2,430.0,16.9,9.09,19.8
6.06,0.4379,5.706,28.4,304.0,16.9,12.43,17.1
6.06,0.4379,6.031,23.3,304.0,16.9,7.83,19.4
5.19,0.515,6.316,38.1,224.0,20.2,5.68,22.2
5.19,0.515,6.31,38.5,224.0,20.2,6.75,20.7
5.19,0.515,6.037,34.5,224.0,20.2,8.01,21.1
5.19,0.515,5.869,46.3,224.0,20.2,9.8,19.5
5.19,0.515,5.895,59.6,224.0,20.2,10.56,18.5
5.19,0.515,6.059,37.3,224.0,20.2,8.51,20.6
5.19,0.515,5.985,45.4,224.0,20.2,9.74,19.0
5.19,0.515,5.968,58.5,224.0,20.2,9.29,18.7
1.52,0.442,7.241,49.3,284.0,15.5,5.49,32.7
1.89,0.518,6.54,59.7,422.0,15.9,8.65,16.5
3.78,0.484,6.696,56.4,370.0,17.6,7.18,23.9
3.78,0.484,6.874,28.1,370.0,17.6,4.61,31.2
4.39,0.442,6.014,48.5,352.0,18.8,10.53,17.5
4.39,0.442,5.898,52.3,352.0,18.8,12.67,17.2
4.15,0.429,6.516,27.7,351.0,17.9,6.36,23.1
2.01,0.435,6.635,29.7,280.0,17.0,5.99,24.5
1.25,0.429,6.939,34.5,335.0,19.7,5.89,26.6
1.25,0.429,6.49,44.4,335.0,19.7,5.98,22.9
18.1,0.77,6.212,97.4,666.0,20.2,17.6,17.8
18.1,0.77,6.395,91.0,666.0,20.2,13.27,21.7
18.1,0.77,6.127,83.4,666.0,20.2,11.48,22.7
18.1,0.77,6.112,81.3,666.0,20.2,12.67,22.6
18.1,0.77,6.398,88.0,666.0,20.2,7.79,25.0
18.1,0.77,6.251,91.1,666.0,20.2,14.19,19.9
18.1,0.77,5.362,96.2,666.0,20.2,10.19,20.8
18.1,0.77,5.803,89.0,666.0,20.2,14.64,16.8
18.1,0.718,8.78,82.9,666.0,20.2,5.29,21.9
18.1,0.718,3.561,87.9,666.0,20.2,7.12,27.5
18.1,0.718,4.963,91.4,666.0,20.2,14.0,21.9
18.1,0.631,3.863,100.0,666.0,20.2,13.33,23.1
18.1,0.631,4.97,100.0,666.0,20.2,3.26,50.0
18.1,0.631,6.683,96.8,666.0,20.2,3.73,50.0
18.1,0.631,7.016,97.5,666.0,20.2,2.96,50.0
18.1,0.631,6.216,100.0,666.0,20.2,9.53,50.0
18.1,0.668,5.875,89.6,666.0,20.2,8.88,50.0
18.1,0.671,7.313,97.9,666.0,20.2,13.44,15.0
18.1,0.671,6.649,93.3,666.0,20.2,23.24,13.9
18.1,0.671,6.794,98.8,666.0,20.2,21.24,13.3
18.1,0.671,6.38,96.2,666.0,20.2,23.69,13.1
18.1,0.671,6.223,100.0,666.0,20.2,21.78,10.2
18.1,0.671,6.968,91.9,666.0,20.2,17.21,10.4
18.1,0.671,6.545,99.1,666.0,20.2,21.08,10.9
18.1,0.7,5.536,100.0,666.0,20.2,23.6,11.3
18.1,0.7,5.52,100.0,666.0,20.2,24.56,12.3
18.1,0.7,4.368,91.2,666.0,20.2,30.63,8.8
18.1,0.7,5.277,98.1,666.0,20.2,30.81,7.2
18.1,0.7,4.652,100.0,666.0,20.2,28.28,10.5
18.1,0.7,5.0,89.5,666.0,20.2,31.99,7.4
18.1,0.7,4.88,100.0,666.0,20.2,30.62,10.2
18.1,0.7,5.39,98.9,666.0,20.2,20.85,11.5
18.1,0.7,5.713,97.0,666.0,20.2,17.11,15.1
18.1,0.7,6.051,82.5,666.0,20.2,18.76,23.2
18.1,0.7,5.036,97.0,666.0,20.2,25.68,9.7
18.1,0.693,6.193,92.6,666.0,20.2,15.17,13.8
18.1,0.693,5.887,94.7,666.0,20.2,16.35,12.7
18.1,0.693,6.471,98.8,666.0,20.2,17.12,13.1
18.1,0.693,6.405,96.0,666.0,20.2,19.37,12.5
18.1,0.693,5.747,98.9,666.0,20.2,19.92,8.5
18.1,0.693,5.453,100.0,666.0,20.2,30.59,5.0
18.1,0.693,5.852,77.8,666.0,20.2,29.97,6.3
18.1,0.693,5.987,100.0,666.0,20.2,26.77,5.6
18.1,0.693,6.343,100.0,666.0,20.2,20.32,7.2
18.1,0.693,6.404,100.0,666.0,20.2,20.31,12.1
18.1,0.693,5.349,96.0,666.0,20.2,19.77,8.3
18.1,0.693,5.531,85.4,666.0,20.2,27.38,8.5
18.1,0.693,5.683,100.0,666.0,20.2,22.98,5.0
18.1,0.659,4.138,100.0,666.0,20.2,23.34,11.9
18.1,0.659,5.608,100.0,666.0,20.2,12.13,27.9
18.1,0.597,5.617,97.9,666.0,20.2,26.4,17.2
18.1,0.597,6.852,100.0,666.0,20.2,19.78,27.5
18.1,0.597,5.757,100.0,666.0,20.2,10.11,15.0
18.1,0.597,6.657,100.0,666.0,20.2,21.22,17.2
18.1,0.597,5.155,100.0,666.0,20.2,20.08,16.3
18.1,0.679,6.434,100.0,666.0,20.2,29.05,7.2
18.1,0.679,6.782,90.8,666.0,20.2,25.79,7.5
18.1,0.679,5.304,89.1,666.0,20.2,26.64,10.4
18.1,0.679,5.957,100.0,666.0,20.2,20.62,8.8
18.1,0.718,6.824,76.5,666.0,20.2,22.74,8.4
18.1,0.718,6.411,100.0,666.0,20.2,15.02,16.7
18.1,0.718,6.006,95.3,666.0,20.2,15.7,14.2
18.1,0.614,5.648,87.6,666.0,20.2,14.1,20.8
18.1,0.614,6.103,85.1,666.0,20.2,23.29,13.4
18.1,0.584,5.565,70.6,666.0,20.2,17.16,11.7
18.1,0.679,5.896,95.4,666.0,20.2,24.39,8.3
18.1,0.584,5.837,59.7,666.0,20.2,15.69,10.2
18.1,0.679,6.202,78.7,666.0,20.2,14.52,10.9
18.1,0.679,6.193,78.1,666.0,20.2,21.52,11.0
18.1,0.679,6.38,95.6,666.0,20.2,24.08,9.5
18.1,0.584,6.348,86.1,666.0,20.2,17.64,14.5
18.1,0.584,6.833,94.3,666.0,20.2,19.69,14.1
18.1,0.584,6.425,74.8,666.0,20.2,12.03,16.1
18.1,0.713,6.436,87.9,666.0,20.2,16.22,14.3
18.1,0.713,6.208,95.0,666.0,20.2,15.17,11.7
18.1,0.74,6.629,94.6,666.0,20.2,23.27,13.4
18.1,0.74,6.461,93.3,666.0,20.2,18.05,9.6
18.1,0.74,6.152,100.0,666.0,20.2,26.45,8.7
18.1,0.74,5.627,93.9,666.0,20.2,22.88,12.8
18.1,0.74,5.818,92.4,666.0,20.2,22.11,10.5
18.1,0.74,6.406,97.2,666.0,20.2,19.52,17.1
18.1,0.74,6.219,100.0,666.0,20.2,16.59,18.4
18.1,0.74,6.485,100.0,666.0,20.2,18.85,15.4
18.1,0.74,5.854,96.6,666.0,20.2,23.79,10.8
18.1,0.74,6.459,94.8,666.0,20.2,23.98,11.8
18.1,0.74,6.341,96.4,666.0,20.2,17.79,14.9
18.1,0.74,6.251,96.6,666.0,20.2,16.44,12.6
18.1,0.713,6.185,98.7,666.0,20.2,18.13,14.1
18.1,0.713,6.417,98.3,666.0,20.2,19.31,13.0
18.1,0.713,6.749,92.6,666.0,20.2,17.44,13.4
18.1,0.713,6.655,98.2,666.0,20.2,17.73,15.2
18.1,0.713,6.297,91.8,666.0,20.2,17.27,16.1
18.1,0.713,7.393,99.3,666.0,20.2,16.74,17.8
18.1,0.713,6.728,94.1,666.0,20.2,18.71,14.9
18.1,0.713,6.525,86.5,666.0,20.2,18.13,14.1
18.1,0.713,5.976,87.9,666.0,20.2,19.01,12.7
18.1,0.713,5.936,80.3,666.0,20.2,16.94,13.5
18.1,0.713,6.301,83.7,666.0,20.2,16.23,14.9
18.1,0.713,6.081,84.4,666.0,20.2,14.7,20.0
